what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667011572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667011832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667149081
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402667150439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1402667169606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402667172173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402667175419
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402667177129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667178995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667179574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667180388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667195777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667196528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667201671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667209195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667257006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402667258152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667268620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667403849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402667413507
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402667414466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667416464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402667417131
