what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177606768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177743776
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400177744774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400177747328
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400177747968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177751173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177768417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177769597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177770444
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177770973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177774651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177775574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177780718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177784448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177788152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177789329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177792034
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177980787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400177981805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400178011881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400178017797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400178030458
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400178046799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400178052549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180268561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400180275178
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400180278121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180280703
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1400180285407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180445310
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1400180448974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180451633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180452605
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180454231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180505720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180507428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180519769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180523763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180526417
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1400180528290
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1400180528357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180542646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180552117
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1400180557533
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1400180557746
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1400180557814
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400180558649
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1400180559441
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1400180559474
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1400180560696
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1400180560724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180569416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180581398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180585106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180586034
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400180591858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180595482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180606049
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1400180610621
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1400180614877
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400180625794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180628473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180631166
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1400180631490
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1400180636474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180647291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180654215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180656035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180665787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180667793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180681135
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400180682825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400180691621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400180692948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180698262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180700149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400180702460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400180703577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180704472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180711861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180719965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180764396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400180769347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400180770667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180776278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400180792138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400180795287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400180796262
