what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402482197288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482321765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482707455
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402482708832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402482710872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482714046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482829269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482831720
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1402482835654
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402482838825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482842987
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402482842992
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1402482843922
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402482851068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482851479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482888235
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402482888262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402482969008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483032847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483033305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483224777
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1402483259201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1402483269307
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402483269800
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402483271590
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402483272456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483274957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483277471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483278487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483387105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483390525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483393524
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1402483393799
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402483396680
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402483398998
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1402483399933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483402829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483406643
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402483407009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483407894
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483603735
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402483606161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483630644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483641595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483674545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483692935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402483734560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402483735245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483737214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483738402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483739071
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1402483742000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483799683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483803589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483804398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483804775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483837056
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402483837913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483840206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483840966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402483866185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483866185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483869241
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1402483872637
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1402483875448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402483878928
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402483878931
