what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609498499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609500591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609501905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609502486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609504720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609506337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609515095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609517665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609521397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609521735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609525021
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1400609526548
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609527920
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609531978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609535188
error,log,,,"Unhandled event loop exception during blocked modal context.",1400609535803
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609535852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609535870
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1400609535898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1400609535898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609540762
error,log,,,"Unhandled event loop exception during blocked modal context.",1400609545316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609545666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1400609545674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609546284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609548008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609551064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609553375
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609554411
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609557733
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609557953
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609557995
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1400609562945
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609565722
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609568375
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609569811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609576610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609591592
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609595074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1400609598558
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609600056
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1400609602077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609641769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609643561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609644920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609645472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609646130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609647288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609647999
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400609648822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609650774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609654592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609663293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609665451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609668474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609669081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609672795
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400609673916
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400609679679
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400609682692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609685396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609688196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609691705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400609743155
