what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1402598165614
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1402598165615
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1402598165615
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1402598165615
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1402598165642
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1402598165642
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1402598165643
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1402598165644
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1402598165644
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1402598165644
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1402598165645
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1402598165646
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1402598165647
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1402598165648
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1402598165648
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1402598165685
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1402598165685
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1402598165686
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1402598165686
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1402598165686
os,sysinfo,,,"win32",1402598165689
arch,sysinfo,,,"x86",1402598165689
ws,sysinfo,,,"win32",1402598165689
locale,sysinfo,,,"it_IT",1402598165689
processors,sysinfo,,,"8",1402598165691
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402598165691
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1402598165691
java.specification.name,sysinfo,,,"Java Platform API Specification",1402598165691
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402598165691
java.specification.version,sysinfo,,,"1.6",1402598165691
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1402598165691
java.version,sysinfo,,,"1.6.0_23",1402598165691
java.vm.info,sysinfo,,,"mixed mode",1402598165691
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1402598165691
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402598165691
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402598165691
java.vm.specification.version,sysinfo,,,"1.0",1402598165691
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1402598165691
java.vm.version,sysinfo,,,"19.0-b09",1402598165691
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1402598167470
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1402598167888
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1402598403054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402598432181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402598435354
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1402598453988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402598493052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402601603627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402601612575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402601777185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402601782696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402601786820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402601816807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402602042910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402602065893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402602067174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402602090370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402602098332
